country,city,population,latitude_degs,latitude_mins,longtitude_degs,longtitude_mins
Индия,Индия.Джайпур,3073000,26,55,75,52.0
Индия,Индия.Нью-Дели,3431000,28,42,77,12.0
Индия,Индия.Морадабад,889000,28,50,78,47.0
Индия,Индия.Лакхнау,2901000,26,52,80,55.0
Индия,Индия.Ховрах,4486000,22,34,88,22.0
Индия,Индия.Мумбаи,15414000,18,58,72,50.0
Индия,Индия.Хайдарабад,7749000,17,22,78,28.0
Индия,Индия.Ченнай,9100000,13,5,80,16.0
Индия,Индия.Бангалор,8443000,12,58,77,34.0
Индия,Индия.Ахмадабад,5570000,23,2,72,37.0
Индия,Индия.Пуне,3337000,18,31,73,51.0
Индия,Индия.Аллахабад,1216000,25,27,81,51.0
Индия,Индия.Сурат,4462000,21,10,72,50.0
Индия,Индия.Агартала,438000,23,49,91,17.0
Индия,Индия.Музаффарнагар,392000,29,28,77,42.0
Индия,Индия.Нагпур,2420000,21,9,79,5.0
Индия,Индия.Лудхияна,1613000,30,55,75,51.0
Индия,Индия.Гая,470000,24,45,85,1.0
Индия,Индия.Беллари,410000,15,9,76,56.0
Индия,Индия.Тируппур,617000,11,5,77,21.0
Индия,Индия.Вадодара,1822000,22,18,73,12.0
Индия,Индия.Индор,1960000,22,43,75,51.0
Индия,Индия.Раджамандри,343000,16,59,81,47.0
Индия,Индия.Бхопал,1795000,23,20,77,36.0
Индия,Индия.Нашик,1364000,20,0,73,47.0
Индия,Индия.Фирозабад,359600,27,9,78,25.0
Индия,Индия.Кумбаконам,140000,10,58,79,23.0
Индия,Индия.Вишакхапатнам,1730000,17,42,83,15.0
Индия,Индия.Кочи,596400,9,58,76,17.0
Индия,Индия.Бхубанесвар,837700,20,16,85,50.0
Индия,Индия.Пилибхит,160140,28,38,79,46.0
Индия,Индия.Веллуру,177400,12,56,79,8.0
Индия,Индия.Варанаси,1435000,25,18,83,0.0
Индия,Индия.Мадурай,1017000,9,8,78,10.0
Индия,Индия.Джамшедпур,1337000,22,47,86,13.0
Индия,Индия.Асансол,1243000,23,41,86,58.0
Индия,Индия.Сринагар,1273000,34,5,74,48.0
Индия,Индия.Джабалпур,1054000,23,10,79,57.0
Индия,Индия.Силваса,21890,20,27,73,2.0
Индия,Индия.Виджаявада,1048240,16,31,80,37.0
Индия,Индия.Амритсар,1183000,31,37,74,51.0
Индия,Индия.Варангал,759500,17,59,79,36.0
Индия,Индия.Ранчи,1127000,23,21,85,20.0
Индия,Индия.Аурангабад,1193000,19,52,75,19.0
Индия,Индия.Джодхпур,1137000,26,28,73,2.0
Индия,Индия.Бхивани,197662,28,47,76,8.0
Индия,Индия.Бхилаи,1064000,21,12,81,22.0
Индия,Индия.Тхируванантхапурам,752000,8,30,76,54.0
Индия,Индия.Гувахати,968000,26,10,91,46.0
Индия,Индия.Кожикоде,437000,11,15,75,46.0
Кот-дИвуар,Кот-дИвуар.Ямусукро,281000,6,50,-5,-15.0
Кот-дИвуар,Кот-дИвуар.Абиджан,4395000,5,20,-4,-2.0
Кот-дИвуар,Кот-дИвуар.Ман,188700,7,25,-7,-33.0
Кот-дИвуар,Кот-дИвуар.Буаке,536000,7,42,-5,-2.0
Кот-дИвуар,Кот-дИвуар.Далоа,319400,6,52,-6,-27.0
Кот-дИвуар,Кот-дИвуар.Диво,179400,5,50,-5,-21.0
Кот-дИвуар,Кот-дИвуар.Сан-Педро,261600,4,45,-6,-38.0
Кот-дИвуар,Кот-дИвуар.Корого,425500,9,27,-5,-38.0
Кот-дИвуар,Кот-дИвуар.Абенгуру,135600,6,44,-3,-30.0
Китай,Китай.Пекин,21893000,39,54,116,24.0
Китай,Китай.Шанхай,24870000,31,10,121,28.0
Китай,Китай.Ухань,12326000,30,35,114,17.0
Тайвань,Тайвань.Тайбэй,2704000,25,2,121,32.0
Китай,Китай.Гуанчжоу,18676000,23,8,113,16.0
Китай,Китай.Чунцин,32054000,29,33,106,30.0
Китай,Китай.Шэньджэнь,17494000,22,32,114,3.0
Китай,Китай.Тяньцзинь,13866000,39,9,117,12.0
Китай,Китай.Чэнду,20937000,30,40,104,4.0
Китай,Китай.Шэньян,9070000,41,48,123,26.0
Китай,Китай.Нанкин,9314000,32,3,118,46.0
Китай,Китай.Харбин,10009000,45,45,126,38.0
